player_key,player_name,team_committed,deal_value,deal_count,sport_name,player_state,player_position,player_class_year
110127.0,Tanner Koziol,Houston,,1,Football,IL,TE,2021.0
110154.0,Tanner Mordecai,Wisconsin,,2,Football,TX,QB,2018.0
110278.0,Tarian Lee Jr.,SMU,,1,Football,FL,LB,2019.0
110332.0,Tariq Speights,Eastern Michigan,,2,Football,CA,LB,2018.0
110338.0,Tarique Barnes,Illinois,,1,Football,TN,LB,2019.0
110373.0,Tarris Reed Jr.,Connecticut,,7,Basketball,MO,C,2022.0
110412.0,Tate Hallock,Western Michigan,,1,Football,MI,ATH,2019.0
110426.0,Tate Rodemaker,Western Carolina,,1,Football,GA,QB,2020.0
110455.0,Taurean Carter,Colorado,,1,Football,TX,DL,2019.0
110467.0,Taurean York,Texas A&M,,4,Football,TX,LB,2023.0
110482.0,Taurus Samuels,Minnesota,,1,Basketball,CA,PG,2018.0
110486.0,Tausili Akana,BYU,,10,Football,HI,EDGE,2023.0
110600.0,Tavis Malakius,UNLV,,1,Football,GA,DL,2016.0
110711.0,Taylor Bol Bowen,Alabama,,5,Basketball,VT,SF,2023.0
110845.0,Taylor Morin,Wake Forest,,2,Football,VA,WR,2019.0
110861.0,Taylor Poitier,Kansas State,,5,Football,KS,IOL,2019.0
111007.0,Te'Cory Couch,Miami,,2,Football,FL,CB,2019.0
111022.0,Teagan Wilk,East Carolina,,1,Football,PA,S,2020.0
111090.0,Teddy Prochazka,Nebraska,,5,Football,NE,OT,2021.0
111124.0,Tegra Tshabola,Ohio State,,4,Football,OH,IOL,2022.0
111189.0,Teradja Mitchell,Florida,,2,Football,VA,LB,2018.0
111297.0,Terrance Arceneaux,NC State,,7,Basketball,TX,SG,2022.0
111305.0,Terrance Brooks,Illinois,,3,Football,TX,CB,2022.0
111384.0,Terrance McClain,Memphis,,1,Football,SC,IOL,2019.0
111522.0,Terrell Dawkins,North Texas,,1,Football,NC,EDGE,2019.0
111670.0,TJ Ferguson,Syracuse,,1,Football,GA,IOL,2021.0
111710.0,Terrence Moore,Toledo,,1,Football,OH,IOL,2021.0
111856.0,Terry Lockett,Eastern Michigan,,1,Football,MN,WR,2020.0
111948.0,Tevarua Tafiti,Stanford,,1,Football,HI,LB,2022.0
111960.0,Tevin Brewer,Duquesne,,1,,AR,PG,2017.0
111967.0,Tevin Carter,Tennessee State,,1,Football,TN,QB,2022.0
112089.0,Thaddeus Dixon,North Carolina,,1,Football,CA,CB,2020.0
112107.0,Thai Chiaokhiao-Bowman,Connecticut,,1,Football,MN,WR,2020.0
112260.0,Thomas Castellanos,Florida State,,2,Football,GA,QB,2022.0
